## Copyrighted by Zeta Co., Ltd.
## For Zeta Co., Ltd. use only
## Auto-generated on 06/11/2016

ကိုရီးယားသမ္မတနိုင်ငံ,583
အကျဉ်းဌာနချုပ်ဝန်ကြီး,1
သွေးဖိအားတိုင်းကိရိယာ,153
သစ်အခြေခံလုပ်ငန်းများ,1
ပီလောပီနံပုစွန်ခြောက်,1
တိရိစ္ဆာန်ဆေးကုဆရာဝန်,15
ပြန်ကြားရေးဝန်ကြီးဌာန,49230
ဒုတိယညွှန်ကြားရေးမှုး,70
ညီညွတ်မှုပြိုကွဲစေသည်,1
စီးပွားရေးအတိုင်ပင်ခံ,13
မင်္ဂလာဆောင်သတို့သမီး,3
ဆိပ်ကမ်းမိသားစုရိပ်သာ,1
မီးခိုးမဆုံးမိုးမဆုံး,66
ဒုတိယညွှန်ကြားရေးမှူး,46351
တန်ပြန်ဝါဒဖြန့်ချိရေး,3
နိုင်ငံသားစိစစ်ရေးကတ်,1001
တယ်လီဖုန်းစက်ခလုပ်ခုံ,1
ဘိလပ်မြေစက်ရုံဝန်ထမ်း,2
စားပွဲထိုးအမျိုးသမီး,611
မန်ချက်စတာယူနိုက်တက်,10056
စီမံကိန်းအင်ဂျင်နီယာ,54
အမှုဆောင်အရာရှိချုပ်,2105
သမာဓိဝှမ်းကြေးစာရင်း,1
အထွေထွေအတွင်းရေးမှူး,66908
သိကြားပဲဆုပ်ကစားနည်း,1
ကြယ်ဖြူအထူးကုဆေးခန်း,1
ပို့ဆောင်ရေးဦးစီးဌာန,286
ကွန်ပျူတာစာစီစာရိုက်,14
ညွှန်ကြားရေးဦးစီးဌာန,1971
ကဿမျှင်ထီဆိပ်ရေကျော်,2
တရားစီရင်ဆုံးဖြတ်မှု,11
အထက်တန်းပြကျောင်းဆရာ,98
တရားစီရင်ဆုံးဖြတ်သည်,2
တိုင်းဒေသကြီးတာဝန်ခံ,80
မောရဂိဝါငွေစားကျောက်,1
မြို့နယ်ဦးစီးဌာနမှူး,42
ယဉ်ကျေးမှုဝန်ကြီးဌာန,6492
တိရစ္ဆာန်ဆေးကုဆရာဝန်,87
ကျန်းမာရေးဝန်ကြီးဌာန,84135
အငြိမ်းစားတရားသူကြီး,13
သြရမရီးချောင်းပြင်လှ,1
ဇင်းနစ်စိန့်ပီကာစဘတ်,2
အလုပ်ဌာနချုပ်ဝန်ကြီး,1
အဝတ်တစ်ထည်ကိုယ်တစ်ခု,2963
ဆယ်ဥတာနှင့်မယ်လီလ်လာ,1
စည်ပင်သာယာအငြိမ်းစား,1
အခွန်ဌာနချုပ်ဝန်ကြီး,1
ခရစ်ယာဒေါ်အင်လမ်းပန်,1
သွားဘက်ဆိုင်ရာဆရာဝန်,76
နိုင်ငံတော်အကြီးအကဲ,7938
အစွန်လူဒန်နီအဲလ်ဘက်,3
နှစ်ချုပ်အစီရင်ခံစာ,30
ဗဟိုအလုပ်အမှုဆောင်,5518
မခံမရပ်နိုင်ဖြစ်သည်,1
သတင်းမီဒီယာလုပ်ငန်း,73
မျက်စိရည်နားရည်ဝသည်,1
ဝေါလစ်နှင့်ဖူထူးနား,1
စစ်ဦးစီးအရာရှိချူပ်,1
ပြန်လည်နေရာချထားရေး,143144
ကာကွယ်ရေးဝန်ကြီးဌာန,14451
အာဏာပိုင်အဖွဲ့အစည်း,7085
အချိန်မရှိအချိန်ရှိ,2
သမ္မတရုံးဝန်ကြီးဌာန,24075
အခမ်းအနားပြင်ဆင်ရေး,9
အမေရိကန်ပြည်ထောင်စု,58679
ဦးငယ်ပီးထီယံအုပ်ထန်,1
စီးပွားရေးဦးစီးဌာန,43
ဒနီရယ်လ်ဘိုင်မန်,1
ကြားဖြတ်အစီရင်ခံစာ,307
မာရီယိုဘာလော့တယ်လီ,18
စကားပြောအသံဖမ်းစက်,1
နယူးကယ်လီဒိုနီးယား,1
တရားစီရင်ခွင့်အာဏာ,35
ရဲဦးစီးအရာရှိချုပ်,70
ကျန်းမာရေးဦးစီးဌာန,4603
ဂေါပကအတွင်းရေးမှူး,20
ဆန်စပါးအရောင်းအဝယ်,30
ဘဏ်ဥပဒေအကျိုးဆောင်,1
အတိသယဝုတ္တိအလင်္ကာ,4
လူနေမှုအဆင့်အတန်း,5013
အလူမီနီယံလုပ်ငန်း,4
သတို့သားသတို့သမီး,94
ဂျူနီစီယိုမာဂါဆို,3
တစ်လင်တစ်မယားစနစ်,829
လာအိုကလပ်လာနက်ဇန်,4
ရေဒီယိုတယ်လီစကုပ်,41
ဥတ္တရဖလဂုနီနက္ခတ်,1
သစ်တောဦးစီးအရာရှိ,53
မောင်နှမပအိုးသည်မ,1
မွေးကုဦးစီးအရာရှိ,1
ဆရာတော်စောပလယ်ထီး,1
စီမံရေးရာမန်နေဂျာ,13
ကပြအသုံးတော်ခံသူ,1
ကာရီဘီယံနယ်သာလန်,1
စကားအချေအတင်ပြော,135
ပညာရေးဝန်ကြီးဌာန,39649
ဒီမိုကရက်တစ်ပါတီ,31274
အခြေအမြစ်မရှိသော,469
ခရစ်ရှန်ကာဘာဆီလီ,1
ဦးဟင်နရီဗန်ထီးယူ,1502
သကဒါဂမိမဂ္ဂဌာန်,1
ဝီလီယမ်ကာဗယ်ဟို,3
ပရမတ်တရားလေးပါး,1
အရေးပေါ်အခြေအနေ,9946
ထမင်းလခပေးစားသူ,1
အရန်သားဖွားဆရာမ,32
ဒိဌဓမ္မဝေဒနိယက်,1
ပါတီဗဟိုကော်မတီ,444
အထွေထွေကုဆရာဝန်,11
ဦးစောဆာကဘရူရှီး,1
ရတနာအရောင်းအဝယ်,4
ဦးစောဂျူဘလီစံလှ,1
ဥပဒေအတိုင်ပင်ခံ,22
နိုင်ငံတကာဥပဒေ,2972
မီဒီမီထရီပါရက်,2
ဇိုးခနဲဆတ်ခကနဲ,1
ဣန္ဒြိယသံဝရသီလ,1
ကုန်ထုတ်သမဝါယမ,134
ပါပူရာနယူးဂီနီ,1
ဒီအေဂိုဂရာစီအာ,1
အထက်တန်းပြဆရာမ,395
သုတေသနပညာရှင်,5669
အထွေထွေဗဟုသုတ,1417
ပဋိညာဉ်ခံဥပဒေ,1
အနာဂါမိဖလဌာန်,1
ညုတုတုခရာတာတာ,1
အမေရိကန်စမိုအ,1
ထောင်ခဏခဏကျသူ,1
ဒေသန္တရဗဟုသုတ,15327
သာဓုကီဠနသဘင်,2
အလိနတောဝိနရ,1
မပီကလာပီကလာ,166
အပကာယိကစကား,1
အနုသာသနာကထာ,1
သံဃမဟာနာယက,875
ဒေါက်တာမန်းမောင်မောင်စိုး,1
ဒေါက်တာစောအောင်ထွန်းကြည်,1
ဦးဆလိုင်းအောင်မင်းလှိုင်,1
ငတ်မွတ်ခေါင်းပါးခြင်းဘေး,9
ဖားတစ်ပိုင်းငါးတစ်ပိုင်း,25
ဒေါက်တာကြည်မို့မို့လွင်,10
နိုင်ငံရေးခိုလှုံခွင့်,216
ဒေါက်တာခင်စိုးစိုးကြည်,29
ခရုခါးတောင်းကျိုက်ဖမ်း,1
ခိုးထုပ်ခိုးထည်နှင့်မိ,1
မီးယပ်ပိန်မီးယပ်ခြောက်,4
အမှောက်မှောက်အမှားမှား,5
ဒေါက်တာဦးလင်းလင်းကျော်,2
စစ်အုပ်ချုပ်ရေးအမိန့်,60
ဆူကြုံနိမ့်မြင့်မရွေး,4
မျက်ရည်ပေါက်ကြီးငယ်ကျ,10
မျက်စိပျက်မျက်နှာပျက်,24
ချည်မျှင်နှင့်အထည်စက်,107
မျက်စိမျက်နှာမကောင်း,8
နေဝင်မီးငြိမ်းအမိန့်,26
ဖိတ်တစ်ဝက်စဉ်‌တစ်ဝက်,1
သူခိုးကျင့်သူခိုးကြံ,6
ကျန်းမာရေးဆေးလက်မှတ်,1
ဘယ်ကဲ့သို့ဘယ်ချမ်းသာ,1
ဘီလူးတွေ့ဒူးတွေ့တွေ့,1
တံတွေးခွက်ပက်လက်မျော,2
နဖူးတွေ့ဒူးတွေ့တွေ့,27
ဆိုင်းမဆင့်ဗုံမဆင့်,41
မထွေးနိုင်မအန်နိုင်,2
တစ်ပင်တိုင်မင်းသမီး,1
ရွှေစွန်ညိုကစားနည်း,1
ခရီးလမ်းညွှန်စာအုပ်,1
ရွှေတွဲလွဲငွေတွဲလွဲ,1
ဆေးဖော်ကြောဖက်မလုပ်,9
ဘတစ်ပြန်ကျားတစ်ပြန်,7
ကယ်ဆယ်ရေးရန်ပုံငွေ,23
မောင်စုံနှမစုံမွေး,1
ဦးအင်ထုံးခါနော်ဆမ်,1
တိုးချဲ့အဆောက်အအုံ,13
အမေ့မေ့အလျော့လျော့,9
ဖွတ်မေ့ပုတတ်မေ့မေ့,1
မျက်စိစပါးမွေးစူး,38
ဆရာအတတ်သင်ကျောင်း,128
အမှန်းကမ်းလမ်းမသိ,1
စကားရောင်းစကားဝယ်,2
မယ်တော်အီကစားနည်း,1
အစည်းအဝေးမှတ်တမ်း,119
ဒေါက်တာမိယဉ်ချမ်း,8
အမြီးအမောက်မတည့်,46
ဆရာအတတ်သင်သိပ္ပံ,32
စာပေးစာယူသင်တန်း,74
ဒေါ်နော်အဲလိဇဘက်,1
ဇာတိသွေးဇာတိမာန်,61
မိုးမမြင်လေမမြင်,33
ကြက်ပျံမကျစည်ကား,33
အရောရောအနှောနှော,7
မျက်စိမျက်နှာမလှ,1
သုမင်္ဂလဒုမင်္ဂလ,1
မကြားကောင်းမနာသာ,1
ဦးစောဗစ်တာခလိုက်,3
ဒေါ်ဂျဲနက်နန်ပရီ,1
ဟောခနဲဒိုင်းခနဲ,1
ကုလားသေကုလားမော,9
ခနော်နီခနော်နဲ့,58
အမှုမရှာပါနှင့်,1
ဒေါ်ယဉ်ယဉ်သန်း,4
ဖြစ်မှဖြစ်ရပလေ,5
အရပ်ဝတ်အရပ်စား,20
ဥမမည်စာမမြောက်,27
ဗိန်မသာလိမ်မသာ,1
စကားပေါက်စကားစ,1
မီးမသေရေမနောက်,1
အမှုသွားအမှုလာ,31
အမူးမူးအရူးရူး,1
စကားသွားစကားလာ,1
အမွေစားအမွေခံ,36
ပဋိသန္ဒါရစကား,1
ဇိုးခနဲဇတ်ခနဲ,1
မကြံအပ်မစည်ရာ,1
နေမထိထိုင်မထိ,5
မီးမသေရေမကြည်,1
မကြံအပ်မကြံရာ,1
ဝိဝဋ္ဋဌာယီကပ်,1
ဦးဟရန်ကီအံလို,1
ဦးစောဘီလီဘဖြူ,1
ကြာသပတေးအရပ်,1
မဇ္ဇိမပဋိပဒါ,1
မဟာဆီမဟာသွေး,6
ပရိဘောဂစေတီ,14
မလိ၊ကာတန်ဆာ,1
အရညကင်ဓူတင်,3
ဒေသိယဝေါဟာရ,1
ကိုင်းကျွန်းမှီကျွန်းကိုင်းမှီ,37
မဟာသမယသုတ်,3
စတုလောကပါလ,5
တိုင်းကြီးတစ်ဆယ့်ခြောက်တိုင်း,1
အိမ်ဆောက်ပစ္စည်းရောင်းဝယ်ရေး,43
တုံးတိုက်တိုက်ကမ်းတိုက်တိုက်,3
ဦးစဝ်စိုင်းစိုင်းနန္ဒာမောင်,1
သွေးနှင့်ကိုယ်သားနှင့်ကိုယ်,2
နိခါတကဗေဒ,1
လျှပ်စစ်ပစ္စည်းရောင်းဝယ်ရေး,5
ပဋိဘာနကဝိ,1
